,id,Locality,Postcode,Street,Number,Type of property,Subtype of property,Price,Type of sale,Number of rooms,Living Area,Fully equipped kitchen,Furnished,Open fire,Terrace,TerraceArea,Garden,Garden area,Surface of the land,Surface area of the plot of land,Number of facades, Swimming pool,State of the building
0,10687298,,,No info,No info,APARTMENT,APARTMENT,170000,FOR_SALE,2,64.0,No,No,No,Yes,2.0,No,,No info,No info,2,No,GOOD
1,10686321,Oupeye,4680,Rue de la Wallonie ,2A,APARTMENT,APARTMENT,219000,FOR_SALE,3,124.0,No,Yes,No,Yes,21.0,Yes,46.0,,No info,4,No,GOOD
2,10686750,Ronse,9600,Hoogstraat ,5,APARTMENT,APARTMENT,219000,FOR_SALE,1,120.0,No,Yes,No,No,,Yes,2000.0,,No info,4,No,GOOD
3,10686062,Gent,9000,Sint-Denijslaan ,1,APARTMENT,SERVICE_FLAT,245000,FOR_SALE,1,52.0,No,Yes,No,Yes,10.0,No,,No info,No info,2,No,AS_NEW
4,10685792,,,No info,No info,APARTMENT,APARTMENT,330000,FOR_SALE,2,90.0,No,No,No,Yes,8.0,No,,No info,No info,2,No,GOOD
5,10686225,Dworp,1653,Alsembergsesteenweg ,660,APARTMENT,APARTMENT,359000,FOR_SALE,3,112.0,No,No,,Yes,28.0,No,,,No info,2,No,GOOD
6,10685770,Diegem,1831,De Kleetlaan ,4,APARTMENT,PENTHOUSE,425000,FOR_SALE,2,105.0,No,No,Yes,Yes,93.0,No,,No info,No info,,No,AS_NEW
7,10685798,Kraainem,1950,Avenue Baron Albert d'Huart ,130,APARTMENT,APARTMENT,435000,FOR_SALE,2,95.0,No,Yes,No,Yes,3.0,No,,No info,No info,2,No,AS_NEW
8,10685235,Borgerhout,2140,Plantin en Moretuslei ,135A,APARTMENT,APARTMENT,182500,FOR_SALE,2,85.0,No,No,,No,,No,,,No info,2,No,GOOD
9,10685243,Borgerhout,2140,Plantin en Moretuslei ,135A,APARTMENT,APARTMENT,183000,FOR_SALE,2,89.0,No,No,,Yes,4.0,No,,No info,No info,2,No,GOOD
10,10684496,Borgerhout,2140,Plantin en Moretuslei ,135A,APARTMENT,APARTMENT,229000,FOR_SALE,2,88.0,No,No,,Yes,3.0,No,,No info,No info,2,No,GOOD
11,10684497,Borgerhout,2140,Plantin en Moretuslei ,135A,APARTMENT,APARTMENT,229000,FOR_SALE,2,88.0,No,No,,Yes,3.0,No,,No info,No info,2,No,GOOD
12,10684481,Leuven,3000,Vismarkt ,10,APARTMENT,APARTMENT,237500,FOR_SALE,1,54.0,No,Yes,,Yes,3.0,No,,No info,No info,2,No,GOOD
13,10685242,Borgerhout,2140,Plantin en Moretuslei ,135A,APARTMENT,APARTMENT,245000,FOR_SALE,2,106.0,No,No,,Yes,6.0,No,,,No info,3,No,JUST_RENOVATED
14,10685232,Borgerhout,2140,Plantin en Moretuslei ,135A,APARTMENT,DUPLEX,285000,FOR_SALE,3,123.0,No,No,,No,,No,,,No info,2,No,JUST_RENOVATED
15,10683975,Mechelen,2800,Hoogstraat ,5,APARTMENT,APARTMENT,295000,FOR_SALE,2,87.0,No,Yes,No,Yes,20.0,No,,,No info,2,No,AS_NEW
16,10685244,Borgerhout,2140,Plantin en Moretuslei ,135A,APARTMENT,APARTMENT,399000,FOR_SALE,5,191.0,No,No,,Yes,57.0,No,,,No info,4,No,GOOD
17,10684307,Woluwe-St-Pierre,1150,"Val des Seigneurs, ",9a,APARTMENT,APARTMENT,499000,FOR_SALE,2,94.0,No,Yes,No,Yes,28.0,No,,No info,No info,2,No,AS_NEW
18,10685490,Bruxelles,1040,Rue Abbé Cuypers (étage ,1,APARTMENT,PENTHOUSE,675000,FOR_SALE,2,130.0,No,Yes,No,Yes,30.0,No,,No info,No info,2,No,AS_NEW
19,10682835,Berchem-Sainte-Agathe,1082,Avenue Charles Quint ,515,APARTMENT,APARTMENT,209000,FOR_SALE,1,60.0,No,Yes,No,Yes,3.0,No,,No info,No info,2,No,GOOD
20,10681258,Kraainem,1950,Avenue Baron Albert d'Huart ,130,APARTMENT,APARTMENT,380000,FOR_SALE,3,108.0,No,Yes,No,Yes,17.0,No,,No info,No info,3,No,TO_BE_DONE_UP
21,10681984,Hotton,6990,Rue Simon ,46/2,APARTMENT,PENTHOUSE,385000,FOR_SALE,4,199.0,No,Yes,No,Yes,35.0,No,,,No info,3,No,TO_BE_DONE_UP
22,10681832,Embourg,4053,Rue Pierre Henvard ,2,APARTMENT,PENTHOUSE,399000,FOR_SALE,3,145.0,No,No,,Yes,20.0,No,,No info,No info,3,No,GOOD
23,10681830,Embourg,4053,Rue Pierre Henvard ,2,APARTMENT,APARTMENT,399000,FOR_SALE,3,145.0,No,No,,Yes,20.0,No,,No info,No info,3,No,GOOD
24,10681956,Woluwe-Saint-Pierre,1150,Parvis Sainte-Alix ,37,APARTMENT,APARTMENT,465000,FOR_SALE,2,95.0,No,Yes,No,Yes,4.0,No,,,No info,2,No,TO_BE_DONE_UP
25,10681410,Kraainem,1950,"Wezembeeklaan, ",120,APARTMENT,APARTMENT,595000,FOR_SALE,3,120.0,No,Yes,No,Yes,13.0,No,,,No info,,No,AS_NEW
26,10678924,Lede,9340,Hoogstraat ,20,APARTMENT,APARTMENT,195000,FOR_SALE,2,91.0,No,Yes,No,Yes,,No,,,No info,3,No,AS_NEW
27,10679101,Hotton,6990,Rue Simon ,46/2,APARTMENT,PENTHOUSE,375000,FOR_SALE,3,214.0,No,Yes,No,No,,No,,,No info,2,No,TO_BE_DONE_UP
28,10687323,Gent,9000,Dampoortstraat ,41,APARTMENT,APARTMENT,254000,FOR_SALE,2,95.0,No info,Yes,No,Yes,,No,,,No info,2,No,GOOD
29,10677844,Gent,9000,"Zuidstationstraat, ",28,APARTMENT,APARTMENT,185000,FOR_SALE,2,101.0,No,No,,Yes,2.0,No,,,No info,2,No,TO_RESTORE
30,10676921,Leuven,3000,Vismarkt ,10,APARTMENT,FLAT_STUDIO,199000,FOR_SALE,0,31.0,No,Yes,,Yes,3.0,No,,No info,No info,4,No,GOOD
31,10676530,Knokke-Heist,8300,"Koningslaan, ",131,APARTMENT,APARTMENT,594000,FOR_SALE,3,78.0,No,Yes,No,Yes,6.0,No,,,No info,2,No,AS_NEW
32,10479538,Knokke,8300,Albert plein ,6,APARTMENT,APARTMENT,647500,FOR_SALE,2,74.0,No,Yes,No,Yes,,No,,No info,No info,2,No,JUST_RENOVATED
33,10685977,Wavre,1300,"Rue de Wavre, ",27,APARTMENT,APARTMENT,310000,FOR_SALE,2,85.0,No,Yes,No,Yes,3.0,No,,No info,No info,2,No,TO_BE_DONE_UP
34,10685922,Etterbeek,1040,"Av. de Tervueren, ",37,APARTMENT,APARTMENT,380000,FOR_SALE,1,74.0,No,No,No,Yes,,No,,No info,No info,2,No,GOOD
35,10686762,Knokke - Heist,8300,Albert plein ,10,APARTMENT,APARTMENT,1095000,FOR_SALE,2,65.0,No,Yes,No,No,,No,,No info,No info,2,No,AS_NEW
36,10673143,Arlon,6700,Avenue de Longwy ,340,APARTMENT,APARTMENT,230000,FOR_SALE,1,54.0,No,No,,Yes,,No,,No info,No info,,No,GOOD
37,10673142,Arlon,6700,Avenue de Longwy ,340,APARTMENT,APARTMENT,260000,FOR_SALE,2,110.0,No,No,,No,,Yes,,No info,No info,4,No,GOOD
38,10673608,Gent,9000,Sluizeken ,16,APARTMENT,APARTMENT,299000,FOR_SALE,1,76.0,No,No,,Yes,9.0,No,,,No info,2,No,GOOD
39,10673609,Gent,9000,Sluizeken ,16,APARTMENT,APARTMENT,299000,FOR_SALE,1,76.0,No,No,,Yes,9.0,No,,,No info,2,No,GOOD
40,10631448,Gent,9000,Zwijnaardsesteenweg ,23,APARTMENT,APARTMENT,405000,FOR_SALE,3,110.0,No,No,Yes,No,,No,,No info,No info,2,No,JUST_RENOVATED
41,10673204,Uccle,1180,Montagne de Saint-Job ,100,APARTMENT,APARTMENT,750000,FOR_SALE,2,197.0,No,Yes,No,Yes,40.0,No,,No info,No info,4,No,AS_NEW
42,10685241,Borgerhout,2140,Plantin en Moretuslei ,135A,APARTMENT,FLAT_STUDIO,115000,FOR_SALE,1,32.0,No,No,,No,,No,,,No info,2,No,GOOD
43,10685240,Borgerhout,2140,Plantin en Moretuslei ,135A,APARTMENT,FLAT_STUDIO,115000,FOR_SALE,1,32.0,No,No,,No,,No,,,No info,2,No,GOOD
44,10685239,Borgerhout,2140,Plantin en Moretuslei ,135A,APARTMENT,FLAT_STUDIO,115000,FOR_SALE,1,32.0,No,No,,No,,No,,,No info,2,No,GOOD
45,10685381,Herstal,4040,Rue Arnold Delsupexhe ,103,APARTMENT,APARTMENT,169500,FOR_SALE,2,72.0,No info,No,,Yes,4.0,No,,No info,No info,2,No,GOOD
46,10685049,Saint-Gilles,1060,rue Antoine Breart ,42,APARTMENT,APARTMENT,290000,FOR_SALE,3,120.0,No,Yes,No,Yes,25.0,No,,No info,No info,2,No,GOOD
47,10650385,,,No info,No info,APARTMENT,APARTMENT,349000,FOR_SALE,2,85.0,No,No,No,Yes,6.0,No,,No info,No info,3,No,GOOD
48,10684546,Saint-Gilles,1060,Avenue Clémentine ,31/4,APARTMENT,APARTMENT,379000,FOR_SALE,2,105.0,No,Yes,No,Yes,10.0,No,,No info,No info,3,No,TO_BE_DONE_UP
49,10684930,Ixelles,1050,Rue Tenbosch ,37,APARTMENT,APARTMENT,398000,FOR_SALE,2,90.0,No,No,No,Yes,,No,,No info,No info,2,No,AS_NEW
50,10683901,Bruxelles,1060,AVENUE BRUGMANN ,16,APARTMENT,APARTMENT,435000,FOR_SALE,2,95.0,No,Yes,No,Yes,,No,,No info,No info,2,No,AS_NEW
51,10685231,Woluwé-St-Lambert,1200,Avenue du Roi Chevalier  ,67,APARTMENT,PENTHOUSE,550000,FOR_SALE,2,130.0,No,No,Yes,Yes,50.0,No,,No info,No info,,No,JUST_RENOVATED
52,10672667,Bruxelles ,1000,Boulevard de la Cambre ,42,APARTMENT,PENTHOUSE,200000,FOR_SALE,1,43.0,No,Yes,No,Yes,8.0,No,,,No info,2,No,AS_NEW
53,10672892,Kessel-Lo,3010,Tiensesteenweg ,93,APARTMENT,APARTMENT,295000,FOR_SALE,2,81.0,No,No,No,Yes,12.0,No,,,No info,2,No,GOOD
54,10672808,,,No info,No info,APARTMENT,DUPLEX,339000,FOR_SALE,2,90.0,No,No,Yes,Yes,5.0,Yes,6.0,No info,No info,1,No,AS_NEW
55,10672511,St Genesius Rode,1640,Fonteinstraat ,11,APARTMENT,APARTMENT,345000,FOR_SALE,2,88.0,No,Yes,No,Yes,17.0,No,,No info,No info,,No,JUST_RENOVATED
56,10673039,Bruxelles,1040,Rue Abbé Cuypers (étage ,1,APARTMENT,PENTHOUSE,520000,FOR_SALE,3,120.0,No,Yes,No,Yes,15.0,No,,No info,No info,2,No,AS_NEW
57,10672778,Gent,9000,Kouter ,98,APARTMENT,APARTMENT,549000,FOR_SALE,3,145.0,No,Yes,No,Yes,3.0,No,,,No info,4,No,TO_BE_DONE_UP
58,10681373,Anderlecht,1070,Rue Potaerdenberg ,31,APARTMENT,APARTMENT,260000,FOR_SALE,2,105.0,No,Yes,No,Yes,5.0,No,,No info,No info,2,No,GOOD
59,10686210,Opwijk,1745,Steenweg ,171,APARTMENT,PENTHOUSE,175000,FOR_SALE,3,90.0,No,No,,No,,No,,,No info,2,No,GOOD
60,10686352,Bruxelles,1000,Rue Royale ,178,APARTMENT,APARTMENT,331000,FOR_SALE,2,95.0,No,Yes,No,Yes,6.0,No,,No info,No info,2,No,AS_NEW
