Locality,Street,Number,Type of property,Subtype of property,Price,Type of sale,Number of rooms,Living Area,Fully equipped kitchen,Furnished,Open fire,Terrace,TerraceArea,Garden,Garden area,Surface of the land,Surface area of the plot of land,Number of facades, Swimming pool,State of the building,Provincie,Gemeenschap
Seraing,Place Merlot ,6,HOUSE,HOUSE,199000,FOR_SALE,4,125.0,No,Yes,No,Yes,108.0,Yes,28.0,229,104,2,No,GOOD,Liège,Wallonia
Zaventem,Parklaan ,59/1,HOUSE,VILLA,430000,FOR_SALE,3,132.0,No,Yes,No,Yes,40.0,Yes,400.0,623,491,3,No,GOOD,Vlaams-Brabant,Flanders
Gent,Sint-Denijslaan ,1,HOUSE,HOUSE,785000,FOR_SALE,4,266.0,No,Yes,No,Yes,33.0,Yes,93.0,262,-4,2,No,TO_RENOVATE,Oost-Vlaanderen,Flanders
Seraing,Place Merlot ,6,HOUSE,HOUSE,179000,FOR_SALE,3,137.0,No,Yes,No,Yes,16.0,Yes,43.0,145,8,2,No,GOOD,Liège,Wallonia
Aalst,Parklaan ,63,HOUSE,HOUSE,274000,FOR_SALE,3,183.0,No,No,Yes,Yes,33.0,Yes,95.0,188,5,2,No,TO_RENOVATE,Oost-Vlaanderen,Flanders
Waterloo,Chaussée de Tervuren ,186,HOUSE,VILLA,695000,FOR_SALE,5,252.0,No,Yes,Yes,Yes,40.0,Yes,450.0,786,534,4,No,TO_BE_DONE_UP,Brabant wallon,Wallonia
Zaventem,Parklaan ,59/1,HOUSE,TOWN_HOUSE,339000,FOR_SALE,2,132.0,No,Yes,No,Yes,44.0,Yes,72.0,165,33,2,No,TO_BE_DONE_UP,Vlaams-Brabant,Flanders
Zaventem,Parklaan ,59/1,HOUSE,HOUSE,345000,FOR_SALE,3,115.0,No,Yes,No,Yes,24.0,Yes,125.0,238,123,3,No,TO_BE_DONE_UP,Vlaams-Brabant,Flanders
Waterloo,Chaussée Bara ,339,HOUSE,HOUSE,549000,FOR_SALE,4,207.0,No,Yes,No,Yes,25.0,Yes,230.0,464,257,3,No,GOOD,Brabant wallon,Wallonia
Waterloo,Chaussée Bara ,339,HOUSE,HOUSE,549000,FOR_SALE,4,207.0,No,Yes,No,Yes,25.0,Yes,230.0,464,257,3,No,GOOD,Brabant wallon,Wallonia
Seraing,Place Merlot ,6,HOUSE,HOUSE,135000,FOR_SALE,2,87.0,No,Yes,No,Yes,17.0,Yes,40.0,120,33,2,No,TO_BE_DONE_UP,Liège,Wallonia
Seraing,Place Merlot ,6,HOUSE,HOUSE,179000,FOR_SALE,3,82.0,No,Yes,No,Yes,13.0,Yes,65.0,128,46,2,No,JUST_RENOVATED,Liège,Wallonia
Seraing,Place Merlot ,6,HOUSE,HOUSE,219000,FOR_SALE,2,100.0,No,Yes,No,Yes,53.0,Yes,220.0,373,273,3,No,GOOD,Liège,Wallonia
Seraing,Place Merlot ,6,HOUSE,HOUSE,249000,FOR_SALE,3,122.0,No,Yes,No,Yes,34.0,Yes,130.0,267,145,3,No,GOOD,Liège,Wallonia
Seraing,Place Merlot ,6,HOUSE,HOUSE,269000,FOR_SALE,3,110.0,No,Yes,No,Yes,15.0,Yes,120.0,231,121,3,No,GOOD,Liège,Wallonia
Zaventem,Parklaan ,59/1,HOUSE,TOWN_HOUSE,399000,FOR_SALE,3,150.0,No,Yes,No,Yes,21.0,Yes,200.0,264,114,3,No,GOOD,Vlaams-Brabant,Flanders
Zaventem,Parklaan ,59/1,HOUSE,BUNGALOW,425000,FOR_SALE,3,140.0,No,Yes,No,Yes,24.0,Yes,260.0,800,660,4,No,TO_BE_DONE_UP,Vlaams-Brabant,Flanders
Seraing,Place Merlot ,6,HOUSE,HOUSE,435000,FOR_SALE,5,160.0,No,Yes,No,Yes,86.0,Yes,1500.0,2000,1840,3,No,AS_NEW,Liège,Wallonia
Zaventem,Parklaan ,59/1,HOUSE,HOUSE,448000,FOR_SALE,4,150.0,No,Yes,No,Yes,16.0,Yes,14.0,130,-20,2,No,GOOD,Vlaams-Brabant,Flanders
Zaventem,Parklaan ,59/1,HOUSE,HOUSE,460000,FOR_SALE,5,250.0,No,Yes,No,Yes,20.0,Yes,110.0,220,-30,2,No,TO_BE_DONE_UP,Vlaams-Brabant,Flanders
Anderlecht,Rue Potaerdenberg ,31,HOUSE,HOUSE,480000,FOR_SALE,3,219.0,No,Yes,No,Yes,30.0,Yes,308.0,398,179,3,No,GOOD,Brussels Hoofdstedelijk Gewest,Brussels
Gent,Sint-Denijslaan ,1,HOUSE,HOUSE,495000,FOR_SALE,4,194.0,No,Yes,No,Yes,66.0,Yes,630.0,975,781,3,No,GOOD,Oost-Vlaanderen,Flanders
Waterloo,drève richelle ,96,HOUSE,VILLA,500000,FOR_SALE,5,265.0,No,Yes,No,Yes,76.0,Yes,457.0,857,592,4,No,TO_RENOVATE,Brabant wallon,Wallonia
Anderlecht,Rue Potaerdenberg ,31,HOUSE,APARTMENT_BLOCK,525000,FOR_SALE,3,240.0,No,Yes,No,Yes,26.0,Yes,28.0,131,-109,2,No,GOOD,Brussels Hoofdstedelijk Gewest,Brussels
Waterloo,drève richelle ,96,HOUSE,HOUSE,580000,FOR_SALE,3,172.0,No,Yes,No,Yes,5.0,Yes,1700.0,2180,2008,4,No,GOOD,Brabant wallon,Wallonia
Zaventem,Parklaan ,59/1,HOUSE,VILLA,649000,FOR_SALE,4,200.0,No,Yes,No,Yes,35.0,Yes,865.0,1000,800,4,No,AS_NEW,Vlaams-Brabant,Flanders
Waterloo,drève richelle ,96,HOUSE,VILLA,650000,FOR_SALE,4,248.0,No,Yes,No,Yes,100.0,Yes,666.0,1115,867,4,No,GOOD,Brabant wallon,Wallonia
Etterbeek,Avenue de Tervuren ,113,HOUSE,MANSION,1950000,FOR_SALE,6,497.0,No,Yes,No,Yes,24.0,Yes,40.0,242,-255,2,No,GOOD,Brussels Hoofdstedelijk Gewest,Brussels
Brasschaat,Bredabaan ,260,HOUSE,VILLA,1950000,FOR_SALE,5,577.0,No,Yes,Yes,Yes,396.0,Yes,8500.0,10431,9854,4,No,GOOD,Antwerpen,Flanders
Gent,Sint-Denijslaan ,1,HOUSE,HOUSE,290000,FOR_SALE,4,195.0,No,Yes,No,Yes,68.0,Yes,380.0,689,494,3,No,TO_RENOVATE,Oost-Vlaanderen,Flanders
Aalst,Parklaan ,63,HOUSE,HOUSE,274000,FOR_SALE,3,183.0,No,No,Yes,Yes,33.0,Yes,95.0,0,-183,2,No,TO_RENOVATE,Oost-Vlaanderen,Flanders
Liège,rue des dominicains ,4E,HOUSE,HOUSE,465000,FOR_SALE,4,160.0,No,Yes,No,Yes,50.0,Yes,434.0,434,274,3,No,AS_NEW,Liège,Wallonia
Anderlecht,Rue Potaerdenberg ,31,HOUSE,HOUSE,380000,FOR_SALE,1,180.0,No,Yes,No,Yes,14.0,Yes,85.0,227,47,2,No,TO_BE_DONE_UP,Brussels Hoofdstedelijk Gewest,Brussels
Gent,Sint-Denijslaan ,1,HOUSE,HOUSE,299000,FOR_SALE,4,200.0,No,Yes,No,Yes,30.0,Yes,83.0,207,7,2,No,GOOD,Oost-Vlaanderen,Flanders
Jette,Rue Eugène Toussaint ,65,HOUSE,HOUSE,349000,FOR_SALE,3,157.0,No,Yes,No,Yes,20.0,Yes,200.0,280,123,2,No,GOOD,Brussels Hoofdstedelijk Gewest,Brussels
Ganshoren,Rue Prince Baudouin ,67/15,HOUSE,HOUSE,389000,FOR_SALE,3,145.0,No,Yes,No,Yes,8.0,Yes,130.0,130,-15,2,No,GOOD,Brussels Hoofdstedelijk Gewest,Brussels
Zaventem,Parklaan ,59/1,HOUSE,HOUSE,449000,FOR_SALE,5,208.0,No,Yes,No,Yes,65.0,Yes,70.0,187,-21,3,No,GOOD,Vlaams-Brabant,Flanders
Vilvoorde,Meeuwenlaan ,4,HOUSE,VILLA,575000,FOR_SALE,4,250.0,No,Yes,No,Yes,60.0,Yes,600.0,1097,847,4,No,GOOD,Vlaams-Brabant,Flanders
Zaventem,Parklaan ,59/1,HOUSE,HOUSE,600000,FOR_SALE,7,220.0,No,Yes,No,Yes,24.0,Yes,37.0,13,-207,2,No,GOOD,Vlaams-Brabant,Flanders
