Locality	Price	Number_of_rooms	Living_Area	Terrace_Area	Garden_area	Surface_of_the_land	Surface_area_of_the_plot_of_land	Number_of_facades
Aalst	346680	3.56	210.92	38.32	445.32	667	477.68	2.92
Anderlecht	734000	3.166666667	294	50	171	637.8333333	380.1666667	2.5
Ans	651500	3.5	277.25	51.75	841.25	1499	1221.75	3.5
Brasschaat	1349666.667	5	509.6666667	164	4052.666667	4890.333333	4380.666667	4
Dilbeek	816333.3333	4.333333333	292.3333333	71.66666667	2949.666667	3083.666667	2791.333333	4
Etterbeek	1016666.667	6	443.3333333	22	110	220	223.3333333	2
Forest	420000	3.666666667	213	12	106.3333333	148	67.66666667	2
Gent	548687.5	3.5625	209.625	38.0625	457.25	677.8125	492.0625	2.875
Grimbergen	569500	4	181	20	285	496.5	315.5	3.5
Jette	399000	3	195	24	180	311	116	2
Kortrijk	664166.6667	4.166666667	388.5	48.66666667	403.3333333	693.5	415	3.166666667
Laeken	664333.3333	4.666666667	280	11	130	98.66666667	181.3333333	3.333333333
Leuven	383476.1905	3.380952381	218.8571429	28.9047619	480.8571429	734.952381	529.2380952	3.095238095
Liege	397955.8824	4.117647059	226.5	47.52941176	791.8823529	964.4705882	786.7941176	2.852941176
Mouscron	518142.8571	3.857142857	215.7142857	48.57142857	525.2857143	784.5714286	586	3
Namur	658333.3333	4.666666667	633.3333333	36.66666667	13528.33333	13528.33333	12895	4
Seraing	238871.3178	3.480620155	145.8217054	44.75968992	218.0542636	374.3565891	240.9224806	2.604651163
Vilvoorde	611714.2857	3.714285714	222	41.85714286	277.1428571	671.4285714	454.5714286	3.428571429
Waterloo	964256.4103	4.41025641	327.0512821	54.92307692	1387.282051	2573.410256	2246.358974	3.820512821
Zaventem	600000	7	220	24	37	13	207	2
